                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4489,                 1.0588,                0.92001,                0.86058,                0.80751,                0.86029,                 0.4942,                 1.2837,                0.63306,                0.88163,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.2873,                0.64603,                0.89123,                0.87432,                0.79846,                0.87033,                0.50569,                 1.2781,                0.64417,                0.88124,              0.0012722,              0.0012722,              0.0012722
                      3,                 1.2716,                0.61592,                0.88901,                0.88951,                0.82084,                 0.8986,                0.54633,                 1.2074,                 0.5854,                 0.8732,              0.0018189,              0.0018189,              0.0018189
                      4,                 1.2112,                0.57735,                0.87753,                0.89342,                0.83848,                 0.9044,                0.55805,                 1.2062,                0.55487,                0.86827,                0.00173,                0.00173,                0.00173
                      5,                 1.1857,                0.56003,                0.87349,                0.90054,                0.84559,                0.90788,                0.56593,                 1.1739,                0.56331,                0.86541,                0.00164,                0.00164,                0.00164
                      6,                 1.1525,                0.54357,                0.87015,                 0.9128,                0.83923,                0.91138,                0.57222,                 1.1609,                0.54181,                0.86259,                0.00155,                0.00155,                0.00155
                      7,                 1.1334,                   0.53,                0.86552,                0.92619,                0.84205,                0.91582,                0.58841,                 1.1209,                0.51993,                0.85949,                0.00146,                0.00146,                0.00146
                      8,                 1.1159,                0.51947,                0.86165,                0.92136,                0.84989,                0.91743,                0.58733,                 1.0825,                0.50958,                0.85149,                0.00137,                0.00137,                0.00137
                      9,                 1.0952,                0.50956,                0.86078,                0.92334,                0.85746,                0.92376,                0.60314,                 1.0669,                0.48463,                 0.8489,                0.00128,                0.00128,                0.00128
                     10,                 1.0845,                0.50368,                0.85827,                0.93118,                0.86251,                0.92879,                0.61116,                 1.0812,                0.48941,                0.84971,                0.00119,                0.00119,                0.00119
                     11,                 1.0764,                0.50234,                0.86016,                0.93145,                0.85303,                0.92398,                0.60838,                 1.0454,                0.48587,                0.84591,                 0.0011,                 0.0011,                 0.0011
                     12,                 1.0533,                0.49133,                0.85514,                0.92709,                0.86086,                0.93003,                0.62113,                 1.0431,                 0.4751,                0.84542,                0.00101,                0.00101,                0.00101
                     13,                 1.0333,                0.48274,                0.85136,                0.93828,                0.85937,                0.93032,                0.62764,                 1.0127,                0.47032,                0.84173,                0.00092,                0.00092,                0.00092
                     14,                 1.0163,                0.47508,                0.84936,                0.93629,                0.86287,                0.93808,                0.63741,                 1.0006,                0.45802,                0.83892,                0.00083,                0.00083,                0.00083
                     15,                 1.0033,                0.46836,                 0.8475,                0.94142,                0.86375,                0.93766,                0.64594,                0.97856,                0.44852,                0.83469,                0.00074,                0.00074,                0.00074
                     16,                0.98235,                0.45891,                 0.8444,                0.93458,                0.86924,                0.93957,                0.65134,                0.95969,                0.43873,                0.83235,                0.00065,                0.00065,                0.00065
                     17,                0.96542,                0.45169,                0.84083,                0.93995,                0.87479,                0.94224,                0.65772,                0.95423,                0.43574,                0.83131,                0.00056,                0.00056,                0.00056
                     18,                0.95141,                0.44325,                0.83701,                0.94428,                   0.87,                 0.9433,                0.65938,                 0.9497,                0.43468,                0.83002,                0.00047,                0.00047,                0.00047
                     19,                0.93477,                0.43584,                0.83617,                0.95151,                0.86838,                0.94409,                0.66696,                0.93061,                0.42486,                0.82746,                0.00038,                0.00038,                0.00038
                     20,                0.91801,                0.42872,                 0.8328,                0.94373,                0.87685,                0.94522,                0.67232,                0.92353,                0.42014,                0.82643,                0.00029,                0.00029,                0.00029
